Datetime, Inches,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-19 10:15:00,,,26.449,,,,,,,,,,,,,6.0,42.0,,,,,,
2016-06-22 14:30:00,,,19.451,,,,,,,,,,,,,6.0,42.0,,,,,,
2016-07-22 10:50:00,,,29.51,,,,,,,,,,,2.98,2.98,6.0,42.0,34.773,34.773,34.773,34.773,34.773,34.773
2016-08-08 08:20:00,,,33.908,,,,,,,,,,,3.16,3.16,6.0,42.0,40.246,40.246,40.246,40.246,40.246,40.246
2016-08-26 13:35:00,,,28.467,,,,,,,,,,,2.4,2.4,6.0,42.0,20.282,20.282,20.282,20.282,20.282,20.282
2016-09-23 09:05:00,,,28.467,,,,,,,,,,,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-04 13:55:00,,,22.676,,,,,,,,,,,,,,,,,,,,
2017-04-28 09:40:00,,,29.1128105101,,,,,,,,SDG-080,31.663,,,,,,,,,,,
2017-05-09 16:05:00,,,51.0732144875,,,,,,,,SDG-080,43.828,,3.28,3.28,6.0,42.0,44.163,44.163,44.163,44.163,44.163,44.163
2017-05-25 16:45:00,,,42.7958314499,,,,,,,,SDG-080,28.467,,3.03,3.03,6.0,42.0,36.245,36.245,36.245,36.245,36.245,36.245
2017-06-08 14:45:00,,,40.3654508984,,,,,,,,SDG-080,22.452,,3.14,3.14,6.0,42.0,39.614,39.614,39.614,39.614,39.614,39.614
2017-06-20 11:15:00,,,38.199242146,,,,,,,,SDG-080,22.452,,2.88,2.88,6.0,42.0,31.938,31.938,31.938,31.938,31.938,31.938
2017-07-07 10:30:00,,,33.6655300968,,,,,,,,SDG-080,40.883,,2.74,2.74,6.0,42.0,28.21,28.21,28.21,28.21,28.21,28.21
2017-07-07 10:30:00,,,30.8946680272,,,,,,,,SDG-080,40.883,,2.74,2.74,6.0,42.0,28.21,28.21,28.21,28.21,28.21,28.21
2017-07-07 10:30:00,,,29.7193273958,,,,,,,,SDG-080,40.883,,2.74,2.74,6.0,42.0,28.21,28.21,28.21,28.21,28.21,28.21
2017-07-07 10:45:00,,,0.0,,,,,,,,SDG-080,,,2.83,2.83,6.0,42.0,30.575,30.575,30.575,30.575,30.575,30.575
2017-07-20 09:35:00,,,41.3486294202,,,,,,,,SDG-080,37.45,,2.93,2.93,6.0,42.0,33.338,33.338,33.338,33.338,33.338,33.338
2017-08-04 09:00:00,,,0.0,,,,,,,,SDG-080,4.676,,2.9,2.9,6.0,42.0,32.494,32.494,32.494,32.494,32.494,32.494
2017-08-18 10:05:00,,,33.9649455951,,,,,,,,SDG-080,28.467,,,,6.0,42.0,,,,,,
2017-08-22 13:40:00,,,31.7006158888,,,,,,,,SDG-080,23.587,,2.64,2.64,6.0,42.0,25.715,25.715,25.715,25.715,25.715,25.715
2017-08-30 12:10:00,,,30.2346914546,,,,,,,,SDG-080,20.282,,2.68,2.68,6.0,42.0,26.696,26.696,26.696,26.696,26.696,26.696
2017-08-30 12:15:00,,,0.0,,,,,,,,SDG-080,20.282,,2.68,2.68,6.0,42.0,26.696,26.696,26.696,26.696,26.696,26.696
2017-09-20 12:30:00,,,32.6329869444,,,,,,,,SDG-080,23.587,,2.83,2.83,6.0,42.0,30.575,30.575,30.575,30.575,30.575,30.575
2017-09-20 12:50:00,,,32.7937405746,,,,,,,,SDG-080,22.007,,2.81,2.81,6.0,42.0,30.039,30.039,30.039,30.039,30.039,30.039
2018-04-26 15:30:00,,,18.4920259351,,,,,,,,SDG-080,,,,,,,,,,,,
2018-05-14 17:15:00,,,35.6631928749,31.7006158888,,,,,,,SDG-080,,,2.42,2.42,6.25,41.0,20.705,20.705,20.705,20.705,20.705,20.705
2018-05-14 17:15:00,,2018-05-14 17:20:00,,,,,2.75590551181,7.64,,28.726,SDG-080,,-4.88409448819,2.42,2.42,6.25,41.0,20.705,20.705,20.705,20.705,20.705,20.705
2018-05-29 10:20:00,,,99.0644246525,,,,,,,,SDG-080,,,2.5,2.5,6.25,41.0,22.452,22.452,22.452,22.452,22.452,22.452
2018-05-29 10:20:00,,2018-05-29 10:25:00,,,,,4.13385826772,7.72,,78.446,SDG-080,,-3.58614173228,2.5,2.5,6.25,41.0,22.452,22.452,22.452,22.452,22.452,22.452
2018-06-11 15:25:00,,,21.7941734236,,,,,,,,SDG-080,,,2.3,2.3,6.25,41.0,18.243,18.243,18.243,18.243,18.243,18.243
2018-06-11 15:25:00,,2018-06-11 15:30:00,,,,,2.55905511811,7.52,,23.818,SDG-080,,-4.96094488189,2.3,2.3,6.25,41.0,18.243,18.243,18.243,18.243,18.243,18.243
2018-06-25 13:00:00,,,31.7006158888,,,,,,,,SDG-080,,,2.58,2.58,6.25,41.0,24.284,24.284,24.284,24.284,24.284,24.284
2018-06-25 13:00:00,,2018-06-25 13:05:00,,,,,2.95275590551,7.8,,33.908,SDG-080,,-4.84724409449,2.58,2.58,6.25,41.0,24.284,24.284,24.284,24.284,24.284,24.284
2018-07-11 10:25:00,,,26.4171799073,,,,,,,,SDG-080,,,2.42,2.42,6.25,41.0,20.705,20.705,20.705,20.705,20.705,20.705
2018-07-11 10:25:00,,2018-07-11 10:30:00,,,,,2.75590551181,7.64,,28.726,SDG-080,,-4.88409448819,2.42,2.42,6.25,41.0,20.705,20.705,20.705,20.705,20.705,20.705
2018-07-24 11:45:00,,,43.5883468471,,,,,,,,SDG-080,,,3.36,3.36,6.25,41.0,46.897,46.897,46.897,46.897,46.897,46.897
2018-07-24 11:45:00,,2018-07-24 11:50:00,,,,,3.34645669291,8.58,,46.55,SDG-080,,-5.23354330709,3.36,3.36,6.25,41.0,46.897,46.897,46.897,46.897,46.897,46.897
2018-08-07 10:20:00,,,28.2769493728,,,,,,,,SDG-080,,,2.5,2.5,6.25,41.0,22.452,22.452,22.452,22.452,22.452,22.452
2018-08-07 10:20:00,,2018-08-07 10:25:00,,,,,2.51968503937,7.72,,22.902,SDG-080,,-5.20031496063,2.5,2.5,6.25,41.0,22.452,22.452,22.452,22.452,22.452,22.452
2018-08-20 16:10:00,,,27.7380389027,23.7754619166,,,,,,,SDG-080,,,2.34,2.34,6.25,41.0,19.043,19.043,19.043,19.043,19.043,19.043
2018-08-20 16:10:00,,2018-08-20 16:15:00,,,,,2.40157480315,7.56,,20.282,SDG-080,,-5.15842519685,2.34,2.34,6.25,41.0,19.043,19.043,19.043,19.043,19.043,19.043
2018-09-04 14:55:00,,,24.1717196152,,,,,,,,SDG-080,,,2.46,2.46,6.25,41.0,21.568,21.568,21.568,21.568,21.568,21.568
2018-09-04 14:55:00,,2018-09-04 15:00:00,,,,,2.59842519685,7.68,,24.755,SDG-080,,-5.08157480315,2.46,2.46,6.25,41.0,21.568,21.568,21.568,21.568,21.568,21.568
2018-09-17 10:55:00,,,24.6630791615,,,,,,,,SDG-080,,,2.34,2.34,6.25,41.0,19.043,19.043,19.043,19.043,19.043,19.043
2018-09-17 10:55:00,,2018-09-17 11:00:00,,,,,2.55905511811,7.56,,23.818,SDG-080,,-5.00094488189,2.34,2.34,6.25,41.0,19.043,19.043,19.043,19.043,19.043,19.043
2018-09-27 16:25:00,,2018-09-27 16:30:00,,,,,2.55905511811,7.91,,23.818,SDG-080,,-5.35094488189,2.69,2.69,6.25,41.0,26.945,26.945,26.945,26.945,26.945,26.945
2018-10-05 11:35:00,,,31.7006158888,,,,,,,,SDG-080,,,,,,,,,,,,
2018-10-05 11:35:00,,2018-10-05 11:40:00,,,,,2.55905511811,19.41,,23.818,SDG-080,,-16.8509448819,,,,,,,,,,
