Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 10:20:00,,,,,,0.476412,-0.134,,,SDR-127,0.610412,,,,,,,,,,
2017-05-30 10:20:00,,,,,,0.125,0.352,,,SDR-127,-0.227,,,,,,,,,,
2017-06-08 12:15:00,,,,,,0.25,0.119,,,SDR-127,0.131,,,,,,,,,,
2017-06-21 09:40:00,,,,,,0.125,-0.302,,,SDR-127,0.427,,,,,,,,,,
2017-07-06 12:25:00,,,,,,0.393701,-0.094,,,SDR-127,0.487701,,,,,,,,,,
2017-07-06 12:30:00,,,,,,0.3543309,-0.072,,,SDR-127,0.4263309,,,,,,,,,,
2017-07-20 10:55:00,,,,,,0.393700787402,0.416,,,SDR-127,-0.0222992125984,,,,,,,,,,
2017-07-20 11:00:00,,,,,,0.393700787402,-1.63,,,SDR-127,2.0237007874,,,,,,,,,,
2017-08-03 10:25:00,,,,,,0.590551181102,0.629,,,SDR-127,-0.0384488188976,,,,,,,,,,
2017-08-17 12:40:00,,,,,,1.02362204724,1.072,,,SDR-127,-0.0483779527559,,,,,,,,,,
2017-08-17 12:45:00,,,,,,1.02362204724,1.178,,,SDR-127,-0.154377952756,,,,,,,,,,
2017-08-31 12:15:00,,,,,,0.393700787402,0.546,,,SDR-127,-0.152299212598,,,,,,,,,,
2017-09-19 14:20:00,,,,,,0.0,0.286,,,SDR-127,-0.286,,,,,,,,,,
2017-10-03 10:55:00,,,,,,0.0787401574803,0.006,,,SDR-127,0.0727401574803,,,,,,,,,,
2018-05-25 12:45:00,,0.121519027574,,,,,,,,SDR-127B,,0.34,0.34,6.0,42.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-05-25 12:45:00,2018-05-25 12:50:00,,,,,0.236220472441,6.304,,0.063,SDR-127B,-6.06777952756,0.34,0.34,6.0,42.0,0.152,0.152,0.152,0.152,0.152,0.152
2018-06-12 08:05:00,2018-06-12 08:10:00,,,,,0.0,5.986,,0.0,SDR-127B,-5.986,0.02,0.02,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 09:45:00,,0.491359546276,,,,,,,,SDR-127B,,0.37,0.37,6.0,42.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-26 09:45:00,2018-06-26 09:50:00,,,,,0.393700787402,6.335,,0.214,SDR-127B,-5.9412992126,0.37,0.37,6.0,42.0,0.187,0.187,0.187,0.187,0.187,0.187
2018-07-10 13:40:00,2018-07-10 13:45:00,,,,,0.0,5.972,,0.0,SDR-127B,-5.972,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 10:10:00,,0.327573030851,,,,,,,,SDR-127B,,0.45,0.45,6.0,42.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-07-25 10:10:00,2018-07-25 10:15:00,,,,,0.433070866142,6.421,,0.273,SDR-127B,-5.98792913386,0.45,0.45,6.0,42.0,0.306,0.306,0.306,0.306,0.306,0.306
2018-08-07 08:45:00,2018-08-07 08:50:00,,,,,0.0,-0.507,,0.0,SDR-127B,0.507,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 10:05:00,2018-08-21 10:10:00,,,,,0.0,6.238,,0.0,SDR-127B,-6.238,0.27,0.27,6.0,42.0,0.085,0.085,0.085,0.085,0.085,0.085
2018-09-05 08:30:00,,0.443808622443,,,,,,,,SDR-127B,,0.42,0.42,6.0,42.0,0.257,0.257,0.257,0.257,0.257,0.257
2018-09-05 08:30:00,2018-09-05 08:35:00,,,,,0.314960629921,6.39,,0.12,SDR-127B,-6.07503937008,0.42,0.42,6.0,42.0,0.257,0.257,0.257,0.257,0.257,0.257
2018-09-18 08:25:00,,0.126802463555,,,,,,,,SDR-127B,,0.25,0.25,6.0,42.0,0.07,0.07,0.07,0.07,0.07,0.07
2018-09-18 08:25:00,2018-09-18 08:30:00,,,,,0.275590551181,6.216,,0.093,SDR-127B,-5.94040944882,0.25,0.25,6.0,42.0,0.07,0.07,0.07,0.07,0.07,0.07
2018-09-27 14:45:00,2018-09-27 14:50:00,,,,,0.0,5.978,,0.0,SDR-127B,-5.978,0.01,0.01,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
