Datetime,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow,Comments,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level (inches),Manual Measurement (inches),SITE ID,V-notch weir equation (gpm)
2016-05-19 10:45:00,2.1,2.1,6.0,33.5,14.547,14.547,14.547,14.547,14.547,14.547,,4.009,,,,,,
2016-05-25 12:10:00,1.15,1.15,6.0,33.5,3.26,3.26,3.26,3.26,3.26,3.26,,5.032,,,,,,
2016-06-22 14:50:00,1.13,1.13,6.0,33.5,3.121,3.121,3.121,3.121,3.121,3.121,,4.009,,,,,,
2016-09-23 09:20:00,1.38,1.38,6.0,33.5,5.124,5.124,5.124,5.124,5.124,5.124,,7.059,,,,,,
2016-10-04 14:40:00,,,,,,,,,,,,7.059,,,,,,
2017-04-28 10:05:00,,,,,,,,,,,,6.25670050437,,,,,SDG-085,22.452
2017-05-09 16:40:00,2.44,2.44,6.0,33.5,21.134,21.134,21.134,21.134,21.134,21.134,,20.1176985448,,,,,SDG-085,16.704
2017-05-12 17:10:00,1.8,1.8,6.0,33.5,9.914,9.914,9.914,9.914,9.914,9.914,,10.5668719629,,,,,SDG-085,8.476
2017-05-25 16:20:00,1.83,1.83,6.0,33.5,10.33,10.33,10.33,10.33,10.33,10.33,,6.19747040626,,,,,SDG-085,6.302
2017-06-08 15:10:00,1.47,1.47,6.0,33.5,5.994,5.994,5.994,5.994,5.994,5.994,,7.70324966098,,,,,SDG-085,4.009
2017-06-20 09:45:00,1.92,1.92,6.0,33.5,11.64,11.64,11.64,11.64,11.64,11.64,,8.90787306475,,,,,SDG-085,5.032
2017-07-07 09:50:00,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794,,8.12328282151,,,,,SDG-085,6.302
2017-07-07 09:50:00,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794,,8.04256366068,,,,,SDG-085,6.302
2017-07-07 09:50:00,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794,,7.1902399447,,,,,SDG-085,6.302
2017-07-13 12:50:00,0.85,0.85,6.0,33.5,1.498,1.498,1.498,1.498,1.498,1.498,,5.29853151284,,,,,SDG-085,5.032
2017-07-20 09:10:00,1.1,1.1,6.0,33.5,2.92,2.92,2.92,2.92,2.92,2.92,,3.75984048914,,,,,SDG-085,3.774
2017-08-04 09:30:00,0.99,0.99,6.0,33.5,2.194,2.194,2.194,2.194,2.194,2.194,,2.61581879475,,,,,SDG-085,4.676
2017-08-18 11:30:00,1.95,1.95,6.0,33.5,12.098,12.098,12.098,12.098,12.098,12.098,,3.97698635696,,,,,SDG-085,0.601
2017-08-30 13:00:00,0.86,0.86,6.0,33.5,1.543,1.543,1.543,1.543,1.543,1.543,,1.49648158805,,,,,SDG-085,1.209
2017-08-30 13:20:00,0.86,0.86,6.0,33.5,1.543,1.543,1.543,1.543,1.543,1.543,,0.0,,,,,SDG-085,1.209
2017-09-20 13:05:00,0.61,0.61,6.0,33.5,0.654,0.654,0.654,0.654,0.654,0.654,,0.887617244886,,,,,SDG-085,0.681
2017-09-20 13:15:00,0.61,0.61,6.0,33.5,0.654,0.654,0.654,0.654,0.654,0.654,,0.829254521594,,,,,SDG-085,0.601
2017-10-05 12:00:00,,,,,,,,,,,,5.01926418239,,,,,SDG-085,4.009
2018-04-26 16:45:00,,,,,,,,,,,,4.30222644205,,,,,SDG-085,
2018-05-14 14:50:00,3.24,3.24,6.0,34.0,42.833,42.833,42.833,42.833,42.833,42.833,,15.3219643463,6.93450972568,,,,SDG-085,
2018-05-29 10:35:00,3.21,3.21,6.0,34.0,41.851,41.851,41.851,41.851,41.851,41.851,,8.51954052012,,,,,SDG-085,
2018-06-11 16:15:00,1.43,1.43,6.0,34.0,5.597,5.597,5.597,5.597,5.597,5.597,,6.79298911903,,,,,SDG-085,
2018-06-25 13:55:00,1.71,1.71,6.0,34.0,8.728,8.728,8.728,8.728,8.728,8.728,,8.6044528841,,,,,SDG-085,
2018-07-11 11:25:00,1.79,1.79,6.0,34.0,9.778,9.778,9.778,9.778,9.778,9.778,,7.7270251229,,,,,SDG-085,
2018-08-07 10:55:00,1.55,1.55,6.0,34.0,6.837,6.837,6.837,6.837,6.837,6.837,,6.34012317776,,,,,SDG-085,
2018-08-20 16:40:00,1.2,1.2,6.0,34.0,3.623,3.623,3.623,3.623,3.623,3.623,,4.40638560854,,,,,SDG-085,
2018-09-04 15:55:00,1.55,1.55,6.0,34.0,6.837,6.837,6.837,6.837,6.837,6.837,,5.48420654876,,,,,SDG-085,
2018-09-17 12:00:00,1.28,1.28,6.0,34.0,4.252,4.252,4.252,4.252,4.252,4.252,,4.31920891485,,,,,SDG-085,
2018-09-17 12:00:00,1.28,1.28,6.0,34.0,4.252,4.252,4.252,4.252,4.252,4.252,,4.31920891485,,,,,SDG-085,
