Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 12:20:00,,0.0,,,,,,SWT-019,0.0,,,,,,,,,,,
2017-05-30 12:05:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 09:20:00,,0.0422674878517,,,,,,SWT-019,0.011,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21 12:00:00,,0.0132085899537,,,,,,SWT-019,0.011,,0.11,0.11,6.0,34.5,0.009,0.009,0.009,0.009,0.009,0.009
2017-07-06 11:25:00,,0.0,,,,,,SWT-019,,,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,0.149257066476,,,,,,SWT-019,0.214,,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-20 12:40:00,,0.0039625769861,,,,,,SWT-019,0.009,,0.29,0.29,6.0,34.5,0.102,0.102,0.102,0.102,0.102,0.102
2017-07-20 12:50:00,,0.0,,,,,,SWT-019,0.003,,0.3,0.3,6.0,34.5,0.111,0.111,0.111,0.111,0.111,0.111
2017-08-03 09:35:00,,0.0,,,,,,SWT-019,0.035,,,,6.0,34.5,,,,,,
2017-08-17 08:15:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 08:20:00,,0.0158503079444,,,,,,SWT-019,0.009,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 09:55:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-02 13:00:00,,0.356631928749,,,,,,SWT-019,0.273,,,,,,,,,,,
2018-05-14 09:45:00,,0.0330214748842,,,,,,SWT-019,,,0.22,0.22,6.0,34.5,0.051,0.051,0.051,0.051,0.051,0.051
2018-05-25 09:35:00,,2.8794726099,,,,,,SWT-019,,,1.04,1.04,6.0,34.5,2.541,2.541,2.541,2.541,2.541,2.541
2018-06-25 09:40:00,,0.280022107018,,,,,,SWT-019,,,0.37,0.37,6.0,34.5,0.187,0.187,0.187,0.187,0.187,0.187
2018-07-09 10:55:00,,0.0317006158888,,,,,,SWT-019,,,0.22,0.22,6.0,34.5,0.051,0.051,0.051,0.051,0.051,0.051
2018-07-23 11:30:00,,0.0,,,,,,SWT-019,,,0.14,0.14,6.0,34.5,0.016,0.016,0.016,0.016,0.016,0.016
2018-10-05 16:15:00,,0.0,,,,,,SWT-019,,,,,,,,,,,,
